# BEST random-per-pixel fusion
# L2=0.087043, trial=197, ref=Exact
# i,point,x,t,lambda
0,y2,0.0000000000,0.0000000000,0.25
0,gt2,0.1430000000,0.0000000000,0.25
0,gt1,0.5710000000,0.0000000000,1.00
0,y1,1.0000000000,0.0000000000,0.25
1,y2,0.0000000000,0.0055560000,0.75
1,gt2,0.1430000000,0.0055560000,1.00
1,gt1,0.5710000000,0.0055560000,1.00
1,y1,1.0000000000,0.0055560000,0.75
2,y2,0.0000000000,0.0111110000,0.00
2,gt2,0.1430000000,0.0111110000,0.75
2,gt1,0.5710000000,0.0111110000,1.00
2,y1,1.0000000000,0.0111110000,0.50
3,y2,0.0000000000,0.0166670000,0.75
3,gt2,0.1430000000,0.0166670000,0.50
3,gt1,0.5710000000,0.0166670000,1.00
3,y1,1.0000000000,0.0166670000,1.00
4,y2,0.0000000000,0.0222220000,0.75
4,gt2,0.1430000000,0.0222220000,0.50
4,gt1,0.5710000000,0.0222220000,0.75
4,y1,1.0000000000,0.0222220000,0.75
5,y2,0.0000000000,0.0277780000,0.00
5,gt2,0.1430000000,0.0277780000,1.00
5,gt1,0.5710000000,0.0277780000,0.75
5,y1,1.0000000000,0.0277780000,0.75
6,y2,0.0000000000,0.0333330000,0.00
6,gt2,0.1430000000,0.0333330000,0.75
6,gt1,0.5710000000,0.0333330000,0.25
6,y1,1.0000000000,0.0333330000,0.00
7,y2,0.0000000000,0.0388890000,1.00
7,gt2,0.1430000000,0.0388890000,0.25
7,gt1,0.5710000000,0.0388890000,0.25
7,y1,1.0000000000,0.0388890000,0.75
8,y2,0.0000000000,0.0444440000,0.25
8,gt2,0.1430000000,0.0444440000,1.00
8,gt1,0.5710000000,0.0444440000,0.50
8,y1,1.0000000000,0.0444440000,0.50
9,y2,0.0000000000,0.0500000000,0.75
9,gt2,0.1430000000,0.0500000000,0.75
9,gt1,0.5710000000,0.0500000000,0.50
9,y1,1.0000000000,0.0500000000,0.00
10,y2,0.0000000000,0.0555560000,0.00
10,gt2,0.1430000000,0.0555560000,0.00
10,gt1,0.5710000000,0.0555560000,0.50
10,y1,1.0000000000,0.0555560000,0.00
11,y2,0.0000000000,0.0611110000,1.00
11,gt2,0.1430000000,0.0611110000,0.00
11,gt1,0.5710000000,0.0611110000,0.75
11,y1,1.0000000000,0.0611110000,0.00
12,y2,0.0000000000,0.0666670000,1.00
12,gt2,0.1430000000,0.0666670000,0.00
12,gt1,0.5710000000,0.0666670000,0.75
12,y1,1.0000000000,0.0666670000,0.75
13,y2,0.0000000000,0.0722220000,0.50
13,gt2,0.1430000000,0.0722220000,0.50
13,gt1,0.5710000000,0.0722220000,1.00
13,y1,1.0000000000,0.0722220000,0.50
14,y2,0.0000000000,0.0777780000,0.00
14,gt2,0.1430000000,0.0777780000,0.25
14,gt1,0.5710000000,0.0777780000,0.50
14,y1,1.0000000000,0.0777780000,0.50
15,y2,0.0000000000,0.0833330000,0.25
15,gt2,0.1430000000,0.0833330000,0.00
15,gt1,0.5710000000,0.0833330000,0.25
15,y1,1.0000000000,0.0833330000,0.75
16,y2,0.0000000000,0.0888890000,1.00
16,gt2,0.1430000000,0.0888890000,0.00
16,gt1,0.5710000000,0.0888890000,0.25
16,y1,1.0000000000,0.0888890000,1.00
17,y2,0.0000000000,0.0944440000,0.25
17,gt2,0.1430000000,0.0944440000,0.25
17,gt1,0.5710000000,0.0944440000,0.50
17,y1,1.0000000000,0.0944440000,0.25
18,y2,0.0000000000,0.1000000000,1.00
18,gt2,0.1430000000,0.1000000000,0.00
18,gt1,0.5710000000,0.1000000000,0.75
18,y1,1.0000000000,0.1000000000,0.00
19,y2,0.0000000000,0.1055560000,1.00
19,gt2,0.1430000000,0.1055560000,0.25
19,gt1,0.5710000000,0.1055560000,0.75
19,y1,1.0000000000,0.1055560000,1.00
20,y2,0.0000000000,0.1111110000,0.50
20,gt2,0.1430000000,0.1111110000,0.00
20,gt1,0.5710000000,0.1111110000,0.25
20,y1,1.0000000000,0.1111110000,0.50
21,y2,0.0000000000,0.1166670000,0.00
21,gt2,0.1430000000,0.1166670000,0.25
21,gt1,0.5710000000,0.1166670000,0.50
21,y1,1.0000000000,0.1166670000,0.75
22,y2,0.0000000000,0.1222220000,0.00
22,gt2,0.1430000000,0.1222220000,0.75
22,gt1,0.5710000000,0.1222220000,0.75
22,y1,1.0000000000,0.1222220000,0.00
23,y2,0.0000000000,0.1277780000,0.50
23,gt2,0.1430000000,0.1277780000,0.00
23,gt1,0.5710000000,0.1277780000,1.00
23,y1,1.0000000000,0.1277780000,0.75
24,y2,0.0000000000,0.1333330000,0.50
24,gt2,0.1430000000,0.1333330000,0.75
24,gt1,0.5710000000,0.1333330000,1.00
24,y1,1.0000000000,0.1333330000,0.75
25,y2,0.0000000000,0.1388890000,0.25
25,gt2,0.1430000000,0.1388890000,0.75
25,gt1,0.5710000000,0.1388890000,0.75
25,y1,1.0000000000,0.1388890000,1.00
26,y2,0.0000000000,0.1444440000,0.50
26,gt2,0.1430000000,0.1444440000,0.25
26,gt1,0.5710000000,0.1444440000,0.50
26,y1,1.0000000000,0.1444440000,0.25
27,y2,0.0000000000,0.1500000000,0.25
27,gt2,0.1430000000,0.1500000000,1.00
27,gt1,0.5710000000,0.1500000000,1.00
27,y1,1.0000000000,0.1500000000,0.25
28,y2,0.0000000000,0.1555560000,0.50
28,gt2,0.1430000000,0.1555560000,1.00
28,gt1,0.5710000000,0.1555560000,0.25
28,y1,1.0000000000,0.1555560000,0.75
29,y2,0.0000000000,0.1611110000,1.00
29,gt2,0.1430000000,0.1611110000,0.75
29,gt1,0.5710000000,0.1611110000,0.50
29,y1,1.0000000000,0.1611110000,1.00
30,y2,0.0000000000,0.1666670000,0.25
30,gt2,0.1430000000,0.1666670000,0.75
30,gt1,0.5710000000,0.1666670000,0.25
30,y1,1.0000000000,0.1666670000,0.00
31,y2,0.0000000000,0.1722220000,1.00
31,gt2,0.1430000000,0.1722220000,0.50
31,gt1,0.5710000000,0.1722220000,0.75
